Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,2.48     ,    0.158,    0.244,    0.319,    0.367,    0.042,    0.007
005-014  ,         ,    0.134,    0.230,    0.281,    0.373,    0.037,    0.005
015-024  ,         ,    0.190,    0.298,    0.352,    0.447,    0.052,    0.005
025-034  ,         ,    0.264,    0.391,    0.386,    0.399,    0.042,    0.008
035-044  ,         ,    0.321,    0.343,    0.321,    0.359,    0.047,    0.005
045-054  ,         ,    0.373,    0.427,    0.374,    0.458,    0.072,    0.007
055-064  ,         ,    0.456,    0.472,    0.457,    0.588,    0.117,    0.012
065-074  ,         ,    0.451,    0.460,    0.470,    0.727,    0.160,    0.043
075-084  ,         ,    0.456,    0.456,    0.519,    0.719,    0.181,    0.050
085-094  ,         ,    0.509,    0.501,    0.523,    0.770,    0.182,    0.035
095-104  ,         ,    0.504,    0.500,    0.502,    0.742,    0.150,    0.021
105-114  ,         ,    0.533,    0.580,    0.666,    0.962,    0.210,    0.018
115-124  ,         ,    0.756,    0.738,    0.743,    1.156,    0.247,    0.033
125-134  ,         ,    0.896,    0.892,    0.727,    0.927,    0.128,    0.014
135-144  ,         ,    0.787,    0.680,    0.502,    0.647,    0.089,    0.008
145-154  ,         ,    0.717,    0.555,    0.378,    0.393,    0.056,    0.010
155-164  ,         ,    0.571,    0.384,    0.300,    0.339,    0.066,    0.015
165-174  ,         ,    0.517,    0.361,    0.292,    0.385,    0.092,    0.017
175-184  ,         ,    0.559,    0.413,    0.344,    0.518,    0.125,    0.031
185-194  ,         ,    0.551,    0.475,    0.412,    0.650,    0.165,    0.047
195-204  ,         ,    0.619,    0.654,    0.547,    0.875,    0.247,    0.066
205-214  ,         ,    0.738,    0.795,    0.761,    1.179,    0.345,    0.112
215-224  ,         ,    0.745,    0.701,    0.758,    1.486,    0.559,    0.212
225-234  ,         ,    0.796,    0.690,    0.798,    1.876,    0.817,    0.365
235-244  ,         ,    0.861,    0.697,    0.748,    1.846,    0.853,    0.455
245-254  ,         ,    0.759,    0.689,    0.747,    1.751,    0.801,    0.511
255-264  ,         ,    0.605,    0.567,    0.638,    1.586,    0.818,    0.546
265-274  ,         ,    0.554,    0.493,    0.555,    1.285,    0.686,    0.430
275-284  ,         ,    0.473,    0.414,    0.449,    1.018,    0.475,    0.313
285-294  ,         ,    0.528,    0.537,    0.537,    1.000,    0.388,    0.243
295-304  ,         ,    0.545,    0.719,    0.686,    1.155,    0.397,    0.177
305-314  ,         ,    0.372,    0.513,    0.488,    0.923,    0.350,    0.140
315-324  ,         ,    0.251,    0.302,    0.277,    0.640,    0.257,    0.095
325-334  ,         ,    0.207,    0.258,    0.314,    0.623,    0.192,    0.052
335-344  ,         ,    0.147,    0.218,    0.283,    0.514,    0.091,    0.027
345-354  ,         ,    0.136,    0.236,    0.280,    0.419,    0.061,    0.013
