index,wind,powerPercent,GenPower,ct
0,0,0,0,0
0,4,0,0,0
1,5,0,0,0
2,6,0,0,0
3,7,0,0,0
4,8,0,0,0
5,9,0,0,0
6,10,0,0,0
7,11,0,0,0
8,12,0,0,0
9,13,0,0,0
10,14,0,0,0
11,15,0,0,0
12,16,0,0,0
13,17,0,0,0
14,18,0,0,0
15,19,0,0,0
16,20,0,0,0
17,21,0,0,0
18,22,0,0,0
19,23,0,0,0
20,24,0,0,0
0,0,50,0,0
0,4,50,35.16441553,0.279276418
1,5,50,260.1082454,0.314534956
2,6,50,540.6152182,0.304831851
3,7,50,849.5391643,0.294972221
4,8,50,1291.721878,0.282588406
5,9,50,1938.165089,0.283346573
6,10,50,2737.9238,0.285035866
7,11,50,3617.273955,0.280119646
8,12,50,3749.592166,0.220822266
9,13,50,3749.687166,0.172700166
10,14,50,3749.628916,0.138504534
11,15,50,3749.598044,0.113504132
12,16,50,3749.469291,0.094508741
13,17,50,3749.676528,0.079782594
14,18,50,3749.737859,0.06824782
15,19,50,3749.792155,0.059074476
16,20,50,3749.737033,0.051606137
17,21,50,3749.677526,0.045478698
18,22,50,3749.732434,0.04039933
19,23,50,3749.759066,0.036149537
20,24,50,3749.676372,0.032553562
0,0,60,0,0
189,4,60,124.9823275,0.424057005
190,5,60,375.7564208,0.411790893
191,6,60,669.9738649,0.365836417
192,7,60,1050.256809,0.356388074
193,8,60,1593.83329,0.344633495
194,9,60,2330.231978,0.341651572
195,10,60,3170.913751,0.333656382
196,11,60,4063.077091,0.318848995
197,12,60,4499.521098,0.267752998
198,13,60,4499.63889,0.207395822
199,14,60,4499.559794,0.1652367
200,15,60,4499.520642,0.134758662
201,16,60,4499.369621,0.111766914
202,17,60,4499.615307,0.09402191
203,18,60,4499.710525,0.080164267
204,19,60,4499.757447,0.069172561
205,20,60,4499.692032,0.060241103
206,21,60,4499.625254,0.052925588
207,22,60,4499.673956,0.046874005
208,23,60,4499.675965,0.041815915
209,24,60,4499.615027,0.037539783
0,0,70,0,0
378,4,70,188.5058215,0.542853043
379,5,70,452.4625917,0.481339282
380,6,70,781.6194635,0.424388053
381,7,70,1228.087707,0.415026212
382,8,70,1843.170675,0.403567597
383,9,70,2637.97414,0.39305109
384,10,70,3520.437559,0.376616965
385,11,70,4437.330923,0.353742726
386,12,70,5239.272149,0.31853608
387,13,70,5249.587165,0.244102625
388,14,70,5249.495917,0.193117099
389,15,70,5249.45431,0.156760591
390,16,70,5249.29122,0.129544748
391,17,70,5249.536594,0.108649825
392,18,70,5249.639218,0.092379176
393,19,70,5249.71592,0.079512349
394,20,70,5249.63855,0.069083267
395,21,70,5249.565844,0.060554509
396,22,70,5249.627258,0.053512718
397,23,70,5249.656687,0.047632906
398,24,70,5249.560052,0.042666957
0,0,80,0,0
567,4,80,238.6647336,0.66201564
568,5,80,522.416613,0.553753631
569,6,80,903.3124807,0.497242576
570,7,80,1421.717221,0.487271057
571,8,80,2105.185003,0.475709006
572,9,80,2970.024212,0.455535463
573,10,80,3920.866712,0.430061239
574,11,80,4894.956983,0.398977258
575,12,80,5892.890886,0.367329917
576,13,80,5999.53931,0.282656628
577,14,80,5999.439993,0.221954846
578,15,80,5999.393359,0.17935836
579,16,80,5999.220575,0.14774471
580,17,80,5999.455965,0.123601094
581,18,80,5999.576254,0.104856893
582,19,80,5999.659964,0.090073643
583,20,80,5999.593899,0.078113444
584,21,80,5999.517531,0.068353523
585,22,80,5999.578223,0.060295027
586,23,80,5999.606541,0.053581589
587,24,80,5999.508039,0.047917194
0,0,90,0,0
756,4,90,265.2850166,0.763828801
757,5,90,583.773019,0.637781472
758,6,90,1022.396916,0.581418423
759,7,90,1609.12466,0.569405407
760,8,90,2375.753216,0.558540037
761,9,90,3325.51979,0.534045168
762,10,90,4376.301233,0.498833558
763,11,90,5445.562598,0.45842968
764,12,90,6557.739865,0.420981194
765,13,90,6749.488125,0.322906958
766,14,90,6749.383337,0.251683467
767,15,90,6749.344756,0.202555745
768,16,90,6749.175636,0.166369833
769,17,90,6749.524025,0.138828169
770,18,90,6749.514715,0.117606451
771,19,90,6749.591058,0.100868476
772,20,90,6749.524047,0.087355814
773,21,90,6749.50837,0.07633882
774,22,90,6749.525905,0.067252859
775,23,90,6749.56054,0.059686248
776,24,90,6749.468353,0.053311854
0,0,100,0,0
945,4,100,254.317982,1.000128993
946,5,100,633.4657757,0.861971467
947,6,100,1158.644989,0.771317129
948,7,100,1833.994582,0.755195661
949,8,100,2723.528527,0.741661739
950,9,100,3835.282691,0.724093631
951,10,100,5035.776257,0.655767302
952,11,100,6257.666127,0.589120522
953,12,100,7450.979507,0.513755964
954,13,100,7499.420018,0.36533124
955,14,100,7499.324144,0.282562092
956,15,100,7499.288904,0.2265556
957,16,100,7499.130818,0.185619877
958,17,100,7499.375212,0.154635841
959,18,100,7499.450857,0.130770379
960,19,100,7499.556307,0.112047412
961,20,100,7499.468817,0.096898735
962,21,100,7499.400634,0.08458372
963,22,100,7499.463435,0.074439075
964,23,100,7499.496421,0.066002315
965,24,100,7499.407193,0.058895299
