global,eu_nest,height
46,0,23463.917
47,1,22770.331
48,2,22096.568
49,3,21435.487
50,4,20795.107
51,5,20175.457
52,6,19576.575
53,7,18998.498
54,8,18441.271
55,9,17908.405
56,10,17400.463
57,11,16920.113
58,12,16467.114
59,13,16039.909
60,14,15637.031
61,15,15257.093
62,16,14898.789
63,17,14560.888
64,18,14242.227
65,19,13933.17
66,20,13633.17
67,21,13333.17
68,22,13033.17
69,23,12733.17
70,24,12433.17
71,25,12133.17
72,26,11833.17
73,27,11533.17
74,28,11233.17
75,29,10933.17
76,30,10633.17
77,31,10333.17
78,32,10033.17
79,33,9733.17
80,34,9433.17
81,35,9133.17
82,36,8833.17
83,37,8533.17
84,38,8233.17
85,39,7933.17
86,40,7633.17
87,41,7333.17
88,42,7033.17
89,43,6733.17
90,44,6433.17
91,45,6133.17
92,46,5833.17
93,47,5533.17
94,48,5233.17
95,49,4933.17
96,50,4633.17
97,51,4333.17
98,52,4033.17
99,53,3735.917
100,54,3448.582
101,55,3171.241
102,56,2903.98
103,57,2646.89
104,58,2400.076
105,59,2163.652
106,60,1937.746
107,61,1722.498
108,62,1518.07
109,63,1324.64
110,64,1142.413
111,65,971.624
112,66,812.54
113,67,665.478
114,68,530.811
115,69,408.988
116,70,300.565
117,71,206.253
118,72,126.999
119,73,64.166
120,74,20.0
121,75,0.0
