ws,P,ct
3.0,89.50560463170865,1.1272107626840366
4.0,317.7003640053837,0.9070755978435852
5.0,665.8944088184297,0.8403384442251844
6.0,1150.6570851682386,0.8403371274199197
7.0,1827.1612770797228,0.8403378086525564
8.0,2727.413529599198,0.8403392066810556
9.0,3882.628663017413,0.8130388796707885
10.0,5222.187987165723,0.7329224697852317
11.0,6600.884624354958,0.6607377653764996
12.0,7500.0,0.49486937554524735
13.0,7500.0,0.36462042477058615
14.0,7500.0,0.28393206930516834
15.0,7500.0,0.22790180681288183
16.0,7500.0,0.18694297042397218
17.0,7500.0,0.1560176243781405
18.0,7500.0,0.13207504053651836
19.0,7500.0,0.11321292083947425
20.0,7500.0,0.09808044875026223
21.0,7500.0,0.08578026616612935
22.0,7500.0,0.07565877361839783
23.0,7500.0,0.06723159355947034
24.0,7500.0,0.06013016238139929
25.0,7500.0,0.0541577128811283
